occurrenceID,institutionCode,collectionCode,catalogNumber,recordNumber,basisOfRecord,recordedBy,recordedByID,organismRemarks,fieldNumber,year,month,day,eventDate,verbatimEventDate,habitat,eventRemarks,higherGeography,countryCode,continent,country,stateProvince,municipality,locality,verbatimElevation,mininumElevationInMeters,maxinumElevationInMeters,decimalLatitude,decimalLongitude,verbatimCoordinates,geodeticDatum,georreferenceProtocol,georreferencedBy,coordinatePrecision,identifiedBy,identifiedByID,scientificName,originalNameUsage,higherClassification,kingdom,phylum,class,order,family,genus,specificEpithet,identificationQualifier,taxonRank,scientificNameAuthorship,taxonomicStatus
IMBIV-75b5f744-8cc7-41c7-99da-f84cc0b9b067-CORD,IMBIV,CORD,CORDC00007800,1,PreservedSpecimen,"Hosseus, C.C.",,Sobre tierra,Serie III. 1,1934,12,6,1934-12-6,6/12/1934,,,"South America | Argentina | Córdoba | Totoral | Las Peñas, Estancia ""La Maraña""",AR,South America,Argentina,Córdoba,Totoral,"Las Peñas, Estancia ""La Maraña""",,,,-30.563949,-64.007439,"30°33'50.2""S; 64°00'26.8""W",WGS84,,,,,,,,,Plantae,Bryophyta,,,,,,,KINGDOM,,ACCEPTED
IMBIV-8632a5bd-ba41-4547-977b-e25349f7a85a-CORD,IMBIV,CORD,CORDC00007801,2,PreservedSpecimen,"Hosseus, C.C.",,Sobre tierra,Serie III. 2,1934,12,6,1934-12-6,6/12/1934,,,"South America | Argentina | Córdoba | Totoral | Las Peñas, Estancia ""La Maraña""",AR,South America,Argentina,Córdoba,Totoral,"Las Peñas, Estancia ""La Maraña""",,,,-30.563949,-64.007439,"30°33'50.2""S; 64°00'26.8""W",WGS84,,,,,,,,,Plantae,Bryophyta,,,,,,,KINGDOM,,ACCEPTED
IMBIV-ee39981c-d0ab-4d91-9127-5d5f70cb6e11-CORD,IMBIV,CORD,CORDC00007802,3,PreservedSpecimen,"Hosseus, C.C.",,Sobre tierra,Serie III. 3,1934,12,6,1934-12-6,6/12/1934,,,"South America | Argentina | Córdoba | Totoral | Las Peñas, Estancia ""La Maraña""",AR,South America,Argentina,Córdoba,Totoral,"Las Peñas, Estancia ""La Maraña""",,,,-30.563949,-64.007439,"30°33'50.2""S; 64°00'26.8""W",WGS84,,,,,,,,,Plantae,Bryophyta,,,,,,,KINGDOM,,ACCEPTED
IMBIV-61a4327d-1df9-4741-ab31-5d28c3048ef3-CORD,IMBIV,CORD,CORDC00007803,4,PreservedSpecimen,"Hosseus, C.C.",,Sobre tierra,Serie III. 4,1934,12,6,1934-12-6,6/12/1934,,,"South America | Argentina | Córdoba | Totoral | Las Peñas, Estancia ""La Maraña""",AR,South America,Argentina,Córdoba,Totoral,"Las Peñas, Estancia ""La Maraña""",,,,-30.563949,-64.007439,"30°33'50.2""S; 64°00'26.8""W",WGS84,,,,,,,,,Plantae,Bryophyta,,,,,,,KINGDOM,,ACCEPTED
IMBIV-c60453c1-739e-4e36-ae05-da89d18ac23d-CORD,IMBIV,CORD,CORDC00007804,5,PreservedSpecimen,"Hosseus, C.C.",,Sobre tierra,Serie III. 5,1934,12,6,1934-12-6,6/12/1934,,,"South America | Argentina | Córdoba | Totoral | Las Peñas, Estancia ""La Maraña""",AR,South America,Argentina,Córdoba,Totoral,"Las Peñas, Estancia ""La Maraña""",,,,-30.563949,-64.007439,"30°33'50.2""S; 64°00'26.8""W",WGS84,,,,,,,,,Plantae,Bryophyta,,,,,,,KINGDOM,,ACCEPTED
IMBIV-b57b1906-89d8-4fb4-a201-8d74e71dd109-CORD,IMBIV,CORD,CORDC00007805,6,PreservedSpecimen,"Hosseus, C.C.",,Sobre tierra,Serie III. 6,1934,12,6,1934-12-6,6/12/1934,,,"South America | Argentina | Córdoba | Totoral | Las Peñas, Estancia ""La Maraña""",AR,South America,Argentina,Córdoba,Totoral,"Las Peñas, Estancia ""La Maraña""",,,,-30.563949,-64.007439,"30°33'50.2""S; 64°00'26.8""W",WGS84,,,,,,,,,Plantae,Bryophyta,,,,,,,KINGDOM,,ACCEPTED
IMBIV-423a3e1a-855d-4df7-93e4-06703c6d3b76-CORD,IMBIV,CORD,CORDC00007806,7,PreservedSpecimen,"Hosseus, C.C.",,Sobre tierra,Serie III. 7,1934,12,6,1934-12-6,6/12/1934,,,"South America | Argentina | Córdoba | Totoral | Las Peñas, Estancia ""La Maraña""",AR,South America,Argentina,Córdoba,Totoral,"Las Peñas, Estancia ""La Maraña""",,,,-30.563949,-64.007439,"30°33'50.2""S; 64°00'26.8""W",WGS84,,,,,,,,,Plantae,Bryophyta,,,,,,,KINGDOM,,ACCEPTED
IMBIV-ee42468f-74c5-4984-b0d7-1a974c1d9778-CORD,IMBIV,CORD,CORDC00007807,8,PreservedSpecimen,"Hosseus, C.C.",,Sobre tierra,Serie III. 8,1934,12,6,1934-12-6,6/12/1934,,,"South America | Argentina | Córdoba | Totoral | Las Peñas, Estancia ""La Maraña""",AR,South America,Argentina,Córdoba,Totoral,"Las Peñas, Estancia ""La Maraña""",,,,-30.563949,-64.007439,"30°33'50.2""S; 64°00'26.8""W",WGS84,,,,,,,,,Plantae,Bryophyta,,,,,,,KINGDOM,,ACCEPTED
IMBIV-7246e863-55ff-43bf-b884-ea08cf34750e-CORD,IMBIV,CORD,CORDC00007808,9,PreservedSpecimen,"Hosseus, C.C.",,Sobre tierra,Serie III. 9,1934,12,6,1934-12-6,6/12/1934,,,"South America | Argentina | Córdoba | Totoral | Las Peñas, Estancia ""La Maraña""",AR,South America,Argentina,Córdoba,Totoral,"Las Peñas, Estancia ""La Maraña""",,,,-30.563949,-64.007439,"30°33'50.2""S; 64°00'26.8""W",WGS84,,,,,,,,,Plantae,Bryophyta,,,,,,,KINGDOM,,ACCEPTED
IMBIV-6d51da79-f07a-4fe8-948b-f2f5c583d594-CORD,IMBIV,CORD,CORDC00007809,9A,PreservedSpecimen,"Hosseus, C.C.",,Sobre tierra,Serie III. 9A,1934,12,6,1934-12-6,6/12/1934,,,"South America | Argentina | Córdoba | Totoral | Las Peñas, Estancia ""La Maraña""",AR,South America,Argentina,Córdoba,Totoral,"Las Peñas, Estancia ""La Maraña""",,,,-30.563949,-64.007439,"30°33'50.2""S; 64°00'26.8""W",WGS84,,,,,,,,,Plantae,Bryophyta,,,,,,,KINGDOM,,ACCEPTED
